"eventDate"|"decimalLatitude"|"decimalLongitude"|"countryCode"|"stateProvince"|"taxonID"
"2022-04-08"|-2.9987600274|10.0535135066|"GA"|"Nyanga"|147662
"2018-06-20"|-1.1129090845|29.6948887749|"UG"|"Kanungu"|147661
"2012-02-20"|6.0264563117|9.2353246516|"CM"|"Sud-Ouest"|126105
"2012-02-17"|6.0821838889|9.6902932678|"CM"|"Sud-Ouest"|126105
"2013-06-13"|-1.5502710672|29.477593473|"RW"|"Amajyaruguru"|147661
"2018-06-21"|-1.0487572593|29.629820178|"UG"|"Kisoro"|147661
"2022-03-26"|-1.1102283102|29.6670037738|"UG"|"Kisoro"|147661
"2013-08-10"|-1.4724416073|29.5085077276|"RW"|"Amajyaruguru"|147661
"2013-08-10"|-1.4239121379|29.4518231628|"RW"|"Amajyaruguru"|147661
"2013-08-10"|-1.4117493542|29.5013932466|"RW"|"Amajyaruguru"|147661
"2018-06-20"|-1.1539103379|29.7730871297|"UG"|"Kanungu"|147661
"2018-06-20"|-1.0823904841|29.6492186719|"UG"|"Kanungu"|147661
"2018-06-20"|-1.1193819406|29.6664250188|"UG"|"Kanungu"|147661
"2018-06-20"|-1.1362023686|29.7165287888|"UG"|"Kanungu"|147661
"2018-06-20"|-1.1866308575|29.6626473071|"UG"|"Kanungu"|147661
"2018-06-20"|-1.0235239343|29.7125939722|"UG"|"Kanungu"|147661
"2018-06-20"|-1.0383159945|29.6114220119|"UG"|"Kanungu"|147661
"2020-02-28"|-1.0025460078|29.7219821263|"UG"|"Kanungu"|147661
"2020-02-28"|-1.1512181869|29.6729427175|"UG"|"Kanungu"|147661
"2020-02-28"|-1.1205506966|29.6542695007|"UG"|"Kanungu"|147661
"2022-04-15"|-1.039373283|29.6453276679|"UG"|"Kanungu"|147661
"2022-08-30"|-1.6518790229|12.8241253761|"GA"|"Haut-Ogoou̩"|147662
"2019-01-24"|-0.9487490323|29.7617033277|"UG"|"Kanungu"|147661
"2014-05-03"|2.5099128389|15.8869900744|"CM"|"Est"|147662
"2012-07-20"|-1.4166267938|29.4430193013|"RW"|"Amajyaruguru"|147661
"2019-11-13"|-2.1359800096|10.4651501778|"GA"|"Ogoou̩-Maritime"|147662
"2008-05-14"|-1.2057405633|29.5136340652|"CD"|"Kivu"|147661
